Time,open,high,low,close,tick_volume,spread,real_volume,EMA_12_M5,EMA_26_M5,EMA_50_M5,RSI_14_M5,RSI_56_M5,RSI_224_M5,MACD_12_26_9_M5,Bollinger_20_2_M5_Upper,Bollinger_20_2_M5_Middle,Bollinger_20_2_M5_Lower,target
2024-11-26 02:00:00,1.04437,1.04563,1.04373,1.0452,334,3,0,0.13460813745285094,0.149166017319331,0.15411267173393384,0.19448261529801897,0.16022268263468065,0.5059193230613406,0.36373396211742853,0.20226808016571596,0.15788481122468312,0.1694609607214801,1
2024-11-15 12:35:00,1.05662,1.05728,1.0565,1.05727,216,4,0,0.315643326303487,0.30931440678952526,0.2962658158132534,0.5496656492366059,0.7532114646276177,0.5667439754366346,0.6495848430036495,0.30113324550107734,0.3163070946328226,0.3660631193259647,0
2024-11-12 21:15:00,1.06175,1.06183,1.06154,1.06163,100,4,0,0.4024759650666674,0.3941548092880147,0.38978776308328733,0.633116872093236,0.4735841617128659,0.40674539682480093,0.6879983545739329,0.3811882805459632,0.39540036962998926,0.4348967448700449,0
2024-11-22 22:05:00,1.041,1.04122,1.04097,1.0411,65,4,0,0.02376421571995735,0.01817560843310062,0.008997909539051108,0.23316042238349755,0.4952820899138093,0.4296544540026157,0.5937056105333238,0.01725038752113761,0.024393693659714444,0.10095400604771143,1
2024-11-19 06:25:00,1.05931,1.05931,1.05915,1.05915,60,4,0,0.36625677774485865,0.3627574356160963,0.3580229293003221,0.22354608465001874,0.44808186297348884,0.7105079278150237,0.6229015792477278,0.3416008830306012,0.36547165541432136,0.4177287161318013,0
2024-11-06 19:45:00,1.07358,1.07364,1.07309,1.07318,154,4,0,0.6308809180999795,0.6250970080088543,0.6178201602668025,0.5470493207037709,0.6557371643711493,0.28367032933304626,0.693402239513248,0.6014870932499825,0.6267019952476147,0.6493915178061265,1
2024-11-11 19:20:00,1.06541,1.06541,1.06488,1.06489,113,4,0,0.47259797324825925,0.4678970920591432,0.4683523234124287,0.44536967070538364,0.43879931252156523,0.33903563091231703,0.6547185217041372,0.4459730400329356,0.468694602647755,0.5076632304183128,1
2024-11-18 09:15:00,1.0542,1.05449,1.05413,1.05444,103,4,0,0.26848140923663877,0.26224485020384236,0.2550165707768741,0.6632975322824355,0.5423135512002935,0.5019620843630221,0.6408910598431603,0.2467555739371896,0.2655112586278463,0.32468771389267914,1
2024-11-27 00:10:00,1.04844,1.04854,1.04844,1.04854,107,41,0,0.16085716053480326,0.1490483153326707,0.13706872579693652,0.5852352767958574,0.6241208431337463,0.6243547889869532,0.6921641674625169,0.15110504329388874,0.15571606381774927,0.21434825387158796,0
2024-11-07 05:40:00,1.07386,1.07392,1.07382,1.07391,84,4,0,0.6306320988620087,0.6246341559606456,0.6216879241505602,0.7526141465495141,0.566962570067299,0.5047200342448739,0.6959942607303392,0.5986534658184297,0.6254950401689712,0.6498809210607668,0
2024-11-04 08:00:00,1.08988,1.09017,1.08987,1.09014,118,4,0,0.9351029855601212,0.93874879930598,0.9381204780551293,0.56884976380769,0.6807932354198082,0.7511266487029198,0.6262016833261481,0.8898614327058141,0.9355221966582405,0.9412699836363991,0
2024-11-15 16:35:00,1.05364,1.0539,1.05259,1.05269,345,4,0,0.27978283716823427,0.29424356071098146,0.29876405451238597,0.16196235376311496,0.335582129049777,0.500902501448937,0.3881940090518684,0.338293203601733,0.302577980613286,0.3053455938748435,1
2024-11-04 11:40:00,1.09017,1.0902,1.08992,1.09002,142,4,0,0.9337469445171003,0.9353974017458064,0.939235274930013,0.6381643994032427,0.5423135512002935,0.769832090134863,0.6505206598229802,0.8895505976685811,0.9316561686719709,0.9344645746780529,0
